free_text,label_id,free_text_clean
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0,em được làm fan cứng luôn rồi nè reaction quá hay quá cute coi mấy giờ này quá hợp lí
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),2,đúng là bọn mắt híp lò xo thụt bên việt nam t cái này ra cách đây 10 năm rồi và bọn t gọi là cái l
Đậu Văn Cường giờ giống thằng sida hơn à,0,đậu văn cường giờ giống thằng sida hơn à
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,2,côn đồ cục súc vô nhân tính đề nghi vn nhà nước việt nam ban thưởng
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0,từ lý thuyết đến thực hành là cả 1 câu chuyện dài
Coronavirus is manmade,0,coronavirus is manmade
Đố chúng m nhận ra ai,0,đố chúng m nhận ra ai
Lúp lúp như chó .,1,lúp lúp như chó
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",2,thế mà mình nói mấy thằng bắc kì bọn đó lại bâu vô nói mình phân biệt d
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣",0,được anh ưi lâu rồi không nghe phúc du rap
Cắt cho trẻ trâu bớt thui mà 😂😂😂,0,cắt cho trẻ trâu bớt thui mà
Nghe rất vô lí nhưng cực kì thuyết phục,0,nghe rất vô lí nhưng cực kì thuyết phục
"chán ghê hong có pé 2 mới máu được, hâhha",0,chán ghê hong có pé 2 mới máu được hâhha
Sao t gửi đc bây,0,sao t gửi được bây
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,0,thế đấy làm gì bọn nó bọn nó có quyền nên làm gì chả được v
Loại này cho dựa cột thôi chứ độ thế nào,2,loại này cho dựa cột thôi chứ độ thế nào
Thuong wa di,0,thuong wa di
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,1,dạy bơi cho cá bơi thì đương nhiên nó bơi được vì nó là cá làm sao cho nó sống được mới là điều người dân đang quan tâm
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,2,ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá
Bamtp chạy ngay ddi:)),0,bamtp chạy ngay ddi
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0,cứ đăng cái ảnh 2 bố con là y như rằng bị đổi
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",0,dàn táo năm nay làm chương trình táo quân vi hành nhé mn phát sóng 9h tối 23 tết trên vtv3
Thật chán với chế độ quản lý dân sinh,2,thật chán với chế độ quản lý dân sinh
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,0,đời vô thường lắm sống phải tu tâm tích đức cô oi khẩu nghiệp quá cô ơi
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",0,có ai biết làm cách nào để tìm lại được đồng đội đồng chí hay bạn hữu cùng đơn vị của người trong bức ảnh không
Sống chậm lại các mày ?,0,sống chậm lại các mày
Chương trình quảng cáo xin đc bắt đầu,0,chương trình quảng cáo xin được bắt đầu
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,2,nguyễn hữu nhân đớp cả của cháu thứ mắc dạy
Nhậu cái đm chúng mày lũ chó hại dân hại nước,2,nhậu cái đm chúng mày lũ chó hại dân hại nước
Thế Vinh Yasbaga tối cao,0,thế vinh yasbaga tối cao
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,2,mài có óc để suy nghĩ không add cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu
chuẩn,0,chuẩn
Chỉ 3 vàng ngọc như con heo nọc nhà e,2,chi 3 va ng ngo c như con heo nọc nha em
phải thầy k ta,0,phải thầy không ta
Cảnh sát chính tả comingg nè :)),0,cảnh sát chính tả comingg nè
Xuân đương tới nghĩa là xuân đương qua,0,xuân đương tới nghĩa là xuân đương qua
Nhìn chúng nó cmt mà đắng bạn à =))))))),0,nhìn chúng nó cmt mà đắng bạn à
Ý thức còn ít hơn cả số tiền trong túi t,1,ý thức còn ít hơn cả số tiền trong túi t
Em yêu anh từ thuở tóc dài,0,em yêu anh từ thuở tóc dài
theo chân mấy anh hàn quốc rồi :,0,theo chân mấy anh hàn quốc rồi
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",0,lương tháng 7 8 củ thui ak con trai nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak
Mệt quá thầy ạ 😞,0,mệt quá thầy ạ
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),0,gia lộc tran quang còn gì vui hơn cà khịa
chị Hôm nay đẹp quá,0,chị hôm nay đẹp quá
Xem r nè,0,xem rồi nè
Việt Tiến nghèo là rõ 🤦,0,việt tiến nghèo là rõ
xxx video 🔞,1,xx video
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2,thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn
Anh ba láo nháo là Tú xiên giờ,2,anh ba láo nháo là tú xiên giờ
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0,người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,0,tú thích hoa hồng và mùa đông được quang đâm phía sau mông
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",2,mẹ sao bộ không mở cửa hàng kinh doanh bán bình luôn cho dân không lại phạt vì mua phải bình đểu
